OUTPUT_DATE,TYPE,Total
7/20/2013,general,3615.0
7/21/2013,general,4492.0
7/22/2013,general,5736.0
7/23/2013,general,7733.0
7/24/2013,general,8564.0
7/25/2013,general,11685.0
7/26/2013,general,9243.0
7/27/2013,general,8969.0
7/28/2013,general,8124.0
7/29/2013,general,7681.0
7/30/2013,general,5827.0
7/31/2013,general,6405.0
8/1/2013,general,9517.0
8/2/2013,general,11282.0
8/3/2013,general,12028.0
8/4/2013,general,9940.0
8/5/2013,general,5610.0
8/6/2013,general,6395.0
8/7/2013,general,7030.0
8/8/2013,general,8829.0
8/9/2013,general,9846.0
8/10/2013,general,12228.0
8/11/2013,general,9902.0
8/12/2013,general,6774.0
8/13/2013,general,10125.0
8/14/2013,general,14030.0
8/15/2013,general,10670.0
8/16/2013,general,9012.0
8/17/2013,general,9998.0
8/18/2013,general,7511.0
8/19/2013,general,10591.0
8/20/2013,general,9748.0
8/21/2013,general,10064.0
8/22/2013,general,9555.0
8/23/2013,general,7543.0
8/24/2013,general,6122.0
8/25/2013,general,6835.0
8/26/2013,general,7168.0
8/27/2013,general,5815.0
8/28/2013,general,5426.0
8/29/2013,general,3181.0
8/30/2013,general,7744.0
8/31/2013,general,3710.0
9/1/2013,general,6782.0
9/2/2013,general,4764.0
9/3/2013,general,3198.0
9/4/2013,general,4799.0
9/5/2013,general,4026.0
9/6/2013,general,4895.0
9/7/2013,general,7184.0
9/8/2013,general,8554.0
9/9/2013,general,5302.0
9/10/2013,general,5324.0
9/11/2013,general,12616.0
9/12/2013,general,7273.0
9/13/2013,general,8817.0
9/14/2013,general,6847.0
9/15/2013,general,5861.0
9/16/2013,general,5773.0
9/17/2013,general,15957.0
9/18/2013,general,5360.0
9/19/2013,general,16238.0
9/20/2013,general,7498.0
9/21/2013,general,7917.0
9/22/2013,general,24120.0
9/23/2013,general,9007.0
9/24/2013,general,8414.0
9/25/2013,general,9132.0
9/26/2013,general,9038.0
9/27/2013,general,11460.0
9/28/2013,general,9436.0
9/29/2013,general,11536.0
9/30/2013,general,3889.0
10/1/2013,general,22533.0
10/2/2013,general,10778.0
10/3/2013,general,5521.0
10/4/2013,general,5873.0
10/5/2013,general,6254.0
10/6/2013,general,4679.0
10/7/2013,general,5365.0
10/8/2013,general,3548.0
10/9/2013,general,3860.0
10/10/2013,general,12035.0
10/11/2013,general,6765.0
10/12/2013,general,2998.0
10/13/2013,general,18961.0
10/14/2013,general,9444.0
10/15/2013,general,9390.0
10/16/2013,general,4116.0
10/17/2013,general,8886.0
10/18/2013,general,11491.0
10/19/2013,general,3133.0
10/20/2013,general,3307.0
10/21/2013,general,7257.0
10/22/2013,general,4318.0
10/23/2013,general,7115.0
10/24/2013,general,7955.0
10/25/2013,general,5833.0
10/26/2013,general,5528.0
10/27/2013,general,6571.0
10/28/2013,general,3856.0
10/29/2013,general,5381.0
10/30/2013,general,4782.0
10/31/2013,general,9993.0
11/1/2013,general,7624.0
11/2/2013,general,5318.0
11/3/2013,general,10244.0
11/4/2013,general,6712.0
11/5/2013,general,4272.0
11/6/2013,general,5104.0
11/7/2013,general,3379.0
11/8/2013,general,5023.0
11/9/2013,general,5680.0
11/10/2013,general,15142.0
11/11/2013,general,5575.0
11/12/2013,general,11086.0
11/13/2013,general,9417.0
11/14/2013,general,6531.0
11/15/2013,general,8131.0
11/16/2013,general,8698.0
11/17/2013,general,6621.0
11/18/2013,general,7627.0
11/19/2013,general,5779.0
11/20/2013,general,7826.0
11/21/2013,general,5273.0
11/22/2013,general,6697.0
11/23/2013,general,9854.0
11/24/2013,general,11685.0
11/25/2013,general,2837.0
11/26/2013,general,7587.0
11/27/2013,general,3533.0
11/28/2013,general,6173.0
11/29/2013,general,7261.0
11/30/2013,general,7028.0
12/1/2013,general,6906.0
12/2/2013,general,7336.0
12/3/2013,general,5237.0
12/4/2013,general,8590.0
12/5/2013,general,8899.0
12/6/2013,general,3945.0
12/7/2013,general,4794.0
12/8/2013,general,6739.0
12/9/2013,general,8489.0
12/10/2013,general,6914.0
12/11/2013,general,5482.0
12/12/2013,general,7303.0
12/13/2013,general,3177.0
12/14/2013,general,5773.0
12/15/2013,general,2559.0
12/16/2013,general,3400.0
12/17/2013,general,5258.0
12/18/2013,general,3055.0
12/19/2013,general,6840.0
12/20/2013,general,4672.0
12/21/2013,general,6006.0
12/22/2013,general,5134.0
12/23/2013,general,4647.0
12/24/2013,general,7195.0
12/25/2013,general,3861.0
12/26/2013,general,6362.0
12/27/2013,general,4180.0
12/28/2013,general,2052.0
12/29/2013,general,1856.0
12/30/2013,general,2190.0
12/31/2013,general,2278.0
1/1/2014,general,4427.0
1/2/2014,general,6392.0
1/3/2014,general,10680.0
1/4/2014,general,18040.0
1/5/2014,general,15610.0
1/6/2014,general,18164.0
1/7/2014,general,5772.0
1/8/2014,general,4670.0
1/9/2014,general,4684.0
1/10/2014,general,2834.0
1/11/2014,general,8117.0
1/12/2014,general,6558.0
1/13/2014,general,5647.0
1/14/2014,general,9869.0
1/15/2014,general,17074.0
1/16/2014,general,26705.0
1/17/2014,general,23339.0
1/18/2014,general,4100.0
1/19/2014,general,4715.0
1/20/2014,general,5282.0
1/21/2014,general,4438.0
1/22/2014,general,9457.0
1/23/2014,general,6955.0
1/24/2014,general,8354.0
1/25/2014,general,3097.0
1/26/2014,general,5798.0
1/27/2014,general,9075.0
1/28/2014,general,16738.0
1/29/2014,general,6093.0
1/30/2014,general,3812.0
1/31/2014,general,13562.0
2/1/2014,general,18885.0
2/2/2014,general,8381.0
2/3/2014,general,14412.0
2/4/2014,general,5952.0
2/5/2014,general,4207.0
2/6/2014,general,14631.0
2/7/2014,general,15076.0
2/8/2014,general,14892.0
2/9/2014,general,4966.0
2/10/2014,general,12292.0
2/11/2014,general,5224.0
2/12/2014,general,6033.0
2/13/2014,general,6671.0
2/14/2014,general,4968.0
2/15/2014,general,8173.0
2/16/2014,general,8300.0
2/17/2014,general,6668.0
2/18/2014,general,5339.0
2/19/2014,general,12092.0
2/20/2014,general,7718.0
2/21/2014,general,6214.0
2/22/2014,general,6850.0
2/23/2014,general,4176.0
2/24/2014,general,3192.0
2/25/2014,general,7933.0
2/26/2014,general,7352.0
2/27/2014,general,9659.0
2/28/2014,general,9294.0
3/1/2014,general,8795.0
3/2/2014,general,6636.0
3/3/2014,general,4051.0
3/4/2014,general,5202.0
3/5/2014,general,6909.0
3/6/2014,general,7841.0
3/7/2014,general,5537.0
3/8/2014,general,4963.0
3/9/2014,general,8772.0
3/10/2014,general,5725.0
3/11/2014,general,3411.0
3/12/2014,general,5556.0
3/13/2014,general,3407.0
3/14/2014,general,3879.0
3/15/2014,general,4681.0
3/16/2014,general,10966.0
3/17/2014,general,8950.0
3/18/2014,general,6213.0
3/19/2014,general,6487.0
3/20/2014,general,4067.0
3/21/2014,general,8206.0
3/22/2014,general,4611.0
3/23/2014,general,6631.0
3/24/2014,general,6297.0
3/25/2014,general,11197.0
3/26/2014,general,3595.0
3/27/2014,general,6775.0
3/28/2014,general,5026.0
3/29/2014,general,9319.0
3/30/2014,general,4203.0
3/31/2014,general,6210.0
